"author" "date" "body"
"58" "jimmy_mac" 2013-05-23 " thenorthremembers  regarding melisandre i think arya said it best youre a witch in my view melisandres much less a priestess than she is a practitioner of black magic or voodoo with regard to your question about her accurately seeing the future or honestly describing what she sees if anything i am not convinced of her sincerity or her devotion to the religion of the lord of light there seems to me to be something hypocrytical about her i get the feeling shes in it not to glorify a cause or a god but simply to aggrandize her own desires "
"59" "Shackalack" 2013-05-23 " moretears  this has just made my day "
"60" "Shackalack" 2013-05-23 " cariad007  not sure if a targ could wed a mormont arent the mormonts sworn to house stark and therefore a lower house "
"61" "TheNorthRemembers" 2013-05-23 " melisandre to gendry death is coming for everyone and everything the darkness will swallow the dawn might this be connected with stannis and his perplexed expression about his vision in the flames of a battle in the snow   btw she does have fantastic long hair doesnt she so might she be telling tall tales too in an effort to persuade stannis of her power to see accurately into the future in reality might it turn out to be just a skirmish a mere snowball fight on the horizon just another glimpse of the winter is coming that weve surely been waiting far too long for by contrast maybe we can rely more on thoros of myr he does seem to have a different sort of power that brilliant healing technique hed surely be welcomed more than melisandre by the nhs "
"62" "Shackalack" 2013-05-23 " moreisless  its the war of the five kings and hes already offed renly "
"63" "thecoordinator" 2013-05-23 " moretears  that is the most exciting news i have heard all year cant wait perhaps they could borrow the performing ravens when got have finished with them "
"64" "Cariad007" 2013-05-23 " so my previous comment about dany and jorah was removed even though i merely stated what has already happened in the series "
"65" "grandcanalman" 2013-05-23 " thenorthremembers  wasnt aware of the sunne in spendour was only thinking about getting an historical fiction book on the war of the roses will get my hands on a copy will keep me going until winds of winter is released looking forward to adaptation of wolf hall "
"66" "sunnyone" 2013-05-23 " scandibaby  i really cant stand brian blessed im so glad he hasnt been cast in got gosh thats tempting fate a bit isnt it given that weve got umpteen series to go yet "
"67" "sunnyone" 2013-05-23 " jennm  will someone please give me 1 for every commenter on this blog who has said something about sam and the bloody knife "
"68" "singist" 2013-05-23 " thenorthremembers  theyd better not fuck it up "
"69" "singist" 2013-05-23 " sybarite2006 thenorthremembers  my nest door neighbor wrote this life true story "
"70" "singist" 2013-05-23 " duckypoos  some people just cant help themselves they are naturally spoilerunsavvy i know this because both my mum and my sister are spoilerunsavvy they do things like walk through the room while youre half way through a box set and casually say oh isnt heshe dead yet the consequent scream of spolier rage from me is met with a look of complete lack of comprehension "
"71" "KlaasJan" 2013-05-23 " ninnyhammer  could have been the end of radioheads there there video too "
"72" "DiddleyDum" 2013-05-23 " thenorthremembers  obviously he was never a choir boy then "
"73" "Grace Burns" 2013-05-23 " sunnyone  saw mark rylance as richard iii on stage at the globe last summer fantastic actor completely playing to the audience hadnt realised that hed been confirmed as thomas cromwell should be a very good casting choice "
"74" "KlaasJan" 2013-05-23 " deletethispost  i could see pullo haphazardly acquiring the iron throne simultaneously sleeping with cercei margaery and just about any woman in kings landing of course he would be accompanied by vorenus the hand of the king doing all the hard work and constantly telling pullo to cut out the drink and women "
"75" "KlaasJan" 2013-05-23 " dolledolf  speaking of those in the thread above who feel theyre not getting their fill of male genitaliaspartacus has all viewers male and female winning "
